SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs
116,101.25692940628,+41.05222832681,945720844751563776,174.6888383996,16.3017708829,1.9890,-2.918,-8.542,137,16.876062,1.992268,1.0,NGC_2281,Gaia DR2 945720844751563776,101.25694606645,+41.05226510486
117,101.08542473417,+40.53716100261,945634464369576704,175.1344544615,15.9872358503,1.8109,-2.188,-8.551,123,17.467138,2.195255,0.9,NGC_2281, ,101.08543712990,+40.53719781941
118,101.06870807203,+40.51519856677,945633291842918144,175.1505805058,15.9671496167,1.9109,-2.817,-8.218,140,12.351006,0.697120,1.0,NGC_2281,Gaia DR2 945633291842918144,101.06872402602,+40.51523394982
119,101.63495781425,+40.79948508159,945653740182701184,175.0445294592,16.4721016092,1.9001,-3.017,-8.257,127,12.042815,0.648555,1.0,NGC_2281,Gaia DR2 945653740182701184,101.63497497390,+40.79952063256
120,101.42141966015,+40.72413303213,945632226689844096,175.0543068949,16.2939167702,1.7285,-2.894,-8.574,145,17.939697,2.384716,0.9,NGC_2281, ,101.42143610157,+40.72416994796
121,101.56062554535,+41.08019915573,945677860718795008,174.7510250152,16.5245983250,1.7413,-2.815,-8.468,146,15.921395,1.771950,1.0,NGC_2281,Gaia DR2 945677860718795008,101.56064162428,+41.08023561517
122,101.81357434302,+40.99257187819,945662536275705984,174.9098598360,16.6692082357,1.8224,-2.757,-8.199,130,15.425239,1.420460,1.0,NGC_2281,Gaia DR2 945662536275705984,101.81359006971,+40.99260717944
123,101.29170376639,+40.63521652268,945629890227579392,175.1015950022,16.1693304363,1.9620,-3.331,-8.083,113,17.814917,2.248045,1.0,NGC_2281,Gaia DR2 945629890227579392,101.29172266527,+40.63525132448
124,101.18955315640,+40.78040684074,945646215400454912,174.9311922190,16.1523372462,1.9722,-2.970,-8.412,121,16.462324,1.829421,1.0,NGC_2281,Gaia DR2 945646215400454912,101.18957004387,+40.78044305907
125,101.65867564008,+41.10025463371,945677448401914496,174.7602702976,16.6006548816,1.7704,-2.957,-8.181,132,14.664855,1.170613,1.0,NGC_2281,Gaia DR2 945677448401914496,101.65869253525,+41.10028985746
126,101.34005539391,+40.61731677283,945628893795157632,175.1332519160,16.1965847442,1.9377,-2.936,-7.730,117,16.351950,1.749218,1.0,NGC_2281,Gaia DR2 945628893795157632,101.34007204724,+40.61735005477
127,101.77034300864,+41.09407129816,945666247127188864,174.7988347874,16.6765134179,1.9813,-3.091,-8.367,127,11.242504,0.468806,1.0,NGC_2281,Gaia DR2 945666247127188864,101.77036066778,+41.09410732274
128,101.75609727344,+41.08838279581,945666242830675072,174.8001989762,16.6644335342,1.8496,-3.003,-8.244,132,13.566119,0.923862,1.0,NGC_2281,Gaia DR2 945666242830675072,101.75611442834,+41.08841829081
