SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs
107,260.59100425845,-50.26845065649,5925579873634810752,339.5867406830,-7.7644394574,1.0981,-2.573,-5.015,186,13.822416,0.802086,0.9,IC_4651, ,260.59102159002,-50.26842906413
108,260.61662256709,-50.28741382313,5925579117726029440,339.5800131425,-7.7885890835,0.9705,-2.769,-5.064,175,15.288680,1.089555,0.8,IC_4651, ,260.61664122633,-50.28739201980
109,260.52384917770,-50.31804275458,5925578091259647232,339.5210629644,-7.7563712498,0.9350,-3.267,-4.565,175,17.933533,1.798019,0.2,IC_4651, ,260.52387120696,-50.31802309972
110,260.58246331872,-50.37975299395,5925576923028451712,339.4902972014,-7.8217772140,0.9107,-1.932,-4.451,218,16.285007,1.193368,0.1,IC_4651, ,260.58247636306,-50.37973382992
111,261.93149409573,-49.51869296404,5949494771264017792,340.6982726218,-8.0738638463,0.9743,-2.521,-5.053,187,14.407139,0.982272,0.9,IC_4651, ,261.93151081523,-49.51867120807
112,261.88650563922,-49.68427046669,5949487486999305856,340.5418597691,-8.1393432727,1.0593,-2.119,-4.996,198,16.007124,1.274280,0.9,IC_4651, ,261.88651974043,-49.68424895613
113,261.89440132823,-49.71713846884,5949485975170766848,340.5167875262,-8.1614882992,1.0644,-2.269,-5.292,211,14.632896,0.926269,1.0,IC_4651,Gaia DR2 5949485975170766848,261.89441643785,-49.71711568384
114,261.94945999367,-49.84499963832,5949484910018666368,340.4277924720,-8.2607548676,1.0558,-2.516,-5.010,210,15.257785,1.044897,0.9,IC_4651, ,261.94947679237,-49.84497806749
115,261.99473451937,-49.81098940108,5949484630813073536,340.4726712496,-8.2668527448,1.0315,-2.476,-4.955,209,12.376239,0.686482,1.0,IC_4651,Gaia DR2 5949484630813073536,261.99475103939,-49.81096806705
116,261.97565205542,-49.63405734992,5949493701780750592,340.6161095312,-8.1605393124,1.0993,-2.287,-5.465,186,16.942514,1.534847,0.9,IC_4651, ,261.97566725891,-49.63403382006
117,262.01465992891,-49.62517096067,5949493121996365312,340.6374956843,-8.1769474306,1.0402,-2.137,-5.037,171,13.055525,0.673042,1.0,IC_4651,Gaia DR2 5949493121996365312,262.01467413264,-49.62514927359
118,261.88592883962,-49.66621232733,5949487624438282368,340.5569682073,-8.1292170307,1.1277,-2.551,-4.644,216,16.825327,1.493174,0.8,IC_4651, ,261.88594580933,-49.66619233233
119,261.77531974522,-49.73357940307,5949488582179514496,340.4605588317,-8.1058292487,1.0388,-2.053,-4.108,203,15.943788,1.327373,0.1,IC_4651, ,261.77533342110,-49.73356171585
120,261.70982639834,-49.63131616302,5949490265806914048,340.5238421971,-8.0145745508,1.0982,-2.314,-4.781,190,15.259390,1.046386,0.9,IC_4651, ,261.70984178046,-49.63129557816
121,261.98132250736,-49.61911964835,5949493839219742464,340.6307991845,-8.1555207365,1.0829,-2.140,-4.904,189,13.343638,0.725711,0.8,IC_4651, ,261.98133672927,-49.61909853390
122,261.94936761233,-49.52800504587,5949494702544516480,340.6967397219,-8.0886633991,1.1319,-2.450,-4.620,202,17.595634,1.620939,0.5,IC_4651, ,261.94938386405,-49.52798515420
123,261.71153694370,-49.69493464061,5949489716050949632,340.4705941435,-8.0501911549,0.9851,-3.008,-5.218,201,15.971959,1.258245,0.8,IC_4651, ,261.71155696528,-49.69491217422
124,261.81044298735,-49.62032885179,5949490922973294848,340.5690084930,-8.0632435637,1.0363,-2.541,-5.873,220,14.817439,0.951002,0.4,IC_4651, ,261.81045987462,-49.62030356526
125,261.88352993018,-49.55581720858,5949497172114552192,340.6497124779,-8.0679087409,1.0615,-2.597,-4.980,172,16.195225,1.345538,0.9,IC_4651, ,261.88354716681,-49.55579576691
